STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER
24,01714934,0400000US24,24,MD,Maryland,00,25151100280,6979966958
19,01779785,0400000US19,19,IA,Iowa,00,144661267977,1084180812
10,01779781,0400000US10,10,DE,Delaware,00,5045925646,1399985648
39,01085497,0400000US39,39,OH,Ohio,00,105828882568,10268850702
42,01779798,0400000US42,42,PA,Pennsylvania,00,115884442321,3394589990
31,01779792,0400000US31,31,NE,Nebraska,00,198956658395,1371829134
53,01779804,0400000US53,53,WA,Washington,00,172112588220,12559278850
72,01779808,0400000US72,72,PR,Puerto Rico,00,8868896030,4922382562
01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
05,00068085,0400000US05,05,AR,Arkansas,00,134768872727,2962859592
35,00897535,0400000US35,35,NM,New Mexico,00,314196306401,728776523
48,01779801,0400000US48,48,TX,Texas,00,676653171537,19006305260
06,01779778,0400000US06,06,CA,California,00,403503931312,20463871877
21,01779786,0400000US21,21,KY,Kentucky,00,102279490672,2375337755
13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
55,01779806,0400000US55,55,WI,Wisconsin,00,140290039723,29344951758
41,01155107,0400000US41,41,OR,Oregon,00,248606993270,6192386935
29,01779791,0400000US29,29,MO,Missouri,00,178050802184,2489425460
51,01779803,0400000US51,51,VA,Virginia,00,102257717110,8528531774
47,01325873,0400000US47,47,TN,Tennessee,00,106802728188,2350123465
22,01629543,0400000US22,22,LA,Louisiana,00,111897594374,23753621895
36,01779796,0400000US36,36,NY,New York,00,122049149763,19246994695
26,01779789,0400000US26,26,MI,Michigan,00,146600952990,103885855702
16,01779783,0400000US16,16,ID,Idaho,00,214049787659,2391722557
12,00294478,0400000US12,12,FL,Florida,00,138949136250,31361101223
02,01785533,0400000US02,02,AK,Alaska,00,1478839695958,245481577452
17,01779784,0400000US17,17,IL,Illinois,00,143780567633,6214824948
30,00767982,0400000US30,30,MT,Montana,00,376962738765,3869208832
27,00662849,0400000US27,27,MN,Minnesota,00,206228939448,18945217189
18,00448508,0400000US18,18,IN,Indiana,00,92789302676,1538002829
25,00606926,0400000US25,25,MA,Massachusetts,00,20205125364,7129925486
20,00481813,0400000US20,20,KS,Kansas,00,211755344060,1344141205
32,01779793,0400000US32,32,NV,Nevada,00,284329506470,2047206072
50,01779802,0400000US50,50,VT,Vermont,00,23874175944,1030416650
09,01779780,0400000US09,09,CT,Connecticut,00,12542497068,1815617571
34,01779795,0400000US34,34,NJ,New Jersey,00,19047825980,3544860246
11,01702382,0400000US11,11,DC,District of Columbia,00,158340391,18687198
37,01027616,0400000US37,37,NC,North Carolina,00,125923656064,13466071395
49,01455989,0400000US49,49,UT,Utah,00,212886221680,6998824394
38,01779797,0400000US38,38,ND,North Dakota,00,178707534813,4403267548
45,01779799,0400000US45,45,SC,South Carolina,00,77864918488,5075218778
28,01779790,0400000US28,28,MS,Mississippi,00,121533519481,3926919758
08,01779779,0400000US08,08,CO,Colorado,00,268422891711,1181621593
46,01785534,0400000US46,46,SD,South Dakota,00,196346981786,3382720225
40,01102857,0400000US40,40,OK,Oklahoma,00,177662925723,3374587997
56,01779807,0400000US56,56,WY,Wyoming,00,251458544898,1867670745
54,01779805,0400000US54,54,WV,West Virginia,00,62266474513,489028543
23,01779787,0400000US23,23,ME,Maine,00,79887426037,11746549764
15,01779782,0400000US15,15,HI,Hawaii,00,16633990195,11777809026
33,01779794,0400000US33,33,NH,New Hampshire,00,23189413166,1026675248
04,01779777,0400000US04,04,AZ,Arizona,00,294198551143,1027337603
44,01219835,0400000US44,44,RI,Rhode Island,00,2677779902,1323670487
