county_name,tract,count_lte100k,valueThousands_lte100k,count_lte250k,valueThousands_lte250k,count_gt250k,valueThousands_gt250k,count_revenuegte1m,valueThousands_revenuegte1m,county,state,year,GEOID
"KENT COUNTY (001), DE",0405.01,46,479,1,200,1,300,25,826,001,10,2014,10001040501
"KENT COUNTY (001), DE",0413.00,127,1837,9,1919,9,4141,62,3698,001,10,2014,10001041300
"KENT COUNTY (001), DE",0420.00,22,129,1,229,0,0,12,315,001,10,2014,10001042000
"KENT COUNTY (001), DE",0425.00,59,867,0,0,0,0,29,470,001,10,2014,10001042500
"KENT COUNTY (001), DE",0433.00,55,794,2,450,4,2492,20,1335,001,10,2014,10001043300
"KENT COUNTY (001), DE",0402.01,52,760,0,0,4,2344,30,1477,001,10,2014,10001040201
"KENT COUNTY (001), DE",0402.02,142,1858,1,150,4,1958,57,1731,001,10,2014,10001040202
"KENT COUNTY (001), DE",0402.03,42,590,5,1047,3,1085,21,401,001,10,2014,10001040203
"KENT COUNTY (001), DE",0405.02,12,58,0,0,0,0,4,34,001,10,2014,10001040502
"KENT COUNTY (001), DE",0409.00,40,563,0,0,0,0,18,249,001,10,2014,10001040900
"KENT COUNTY (001), DE",0410.00,43,697,0,0,1,285,14,305,001,10,2014,10001041000
"KENT COUNTY (001), DE",0411.00,5,40,0,0,0,0,1,0,001,10,2014,10001041100
"KENT COUNTY (001), DE",0412.00,79,1099,1,150,4,2600,38,476,001,10,2014,10001041200
"KENT COUNTY (001), DE",0414.00,66,1153,6,1116,5,2832,26,1290,001,10,2014,10001041400
"KENT COUNTY (001), DE",0415.00,23,192,1,200,0,0,10,112,001,10,2014,10001041500
"KENT COUNTY (001), DE",0417.01,91,1349,2,290,5,2030,39,1332,001,10,2014,10001041701
"KENT COUNTY (001), DE",0418.01,99,1138,3,473,1,369,50,1409,001,10,2014,10001041801
"KENT COUNTY (001), DE",0419.00,74,1186,2,450,2,780,41,1145,001,10,2014,10001041900
"KENT COUNTY (001), DE",0421.00,48,651,2,281,1,573,31,591,001,10,2014,10001042100
"KENT COUNTY (001), DE",0422.01,66,922,0,0,2,669,33,895,001,10,2014,10001042201
"KENT COUNTY (001), DE",0422.02,40,346,1,152,0,0,13,173,001,10,2014,10001042202
"KENT COUNTY (001), DE",0428.00,71,1036,3,690,0,0,26,482,001,10,2014,10001042800
"KENT COUNTY (001), DE",0429.00,36,212,0,0,0,0,14,100,001,10,2014,10001042900
"KENT COUNTY (001), DE",0430.00,65,1003,2,350,1,400,21,338,001,10,2014,10001043000
"KENT COUNTY (001), DE",0431.00,32,217,0,0,0,0,15,85,001,10,2014,10001043100
"KENT COUNTY (001), DE",0432.02,46,700,1,200,2,805,21,923,001,10,2014,10001043202
"KENT COUNTY (001), DE",0434.00,72,1129,5,760,1,950,34,826,001,10,2014,10001043400
"KENT COUNTY (001), DE",0401.00,79,1200,1,223,1,600,33,790,001,10,2014,10001040100
"KENT COUNTY (001), DE",0407.00,74,1044,1,150,2,1300,30,593,001,10,2014,10001040700
"KENT COUNTY (001), DE",0416.00,69,758,1,150,5,3024,36,637,001,10,2014,10001041600
"KENT COUNTY (001), DE",0417.02,35,365,0,0,0,0,21,291,001,10,2014,10001041702
"KENT COUNTY (001), DE",0418.02,59,936,2,474,0,0,24,539,001,10,2014,10001041802
"SUSSEX COUNTY (005), DE",0502.00,40,490,0,0,0,0,20,310,005,10,2014,10005050200
"SUSSEX COUNTY (005), DE",0504.06,84,1354,4,712,2,803,27,1449,005,10,2014,10005050406
"SUSSEX COUNTY (005), DE",0504.08,33,345,1,144,0,0,13,285,005,10,2014,10005050408
"SUSSEX COUNTY (005), DE",0505.01,52,1032,4,808,4,1575,24,758,005,10,2014,10005050501
"SUSSEX COUNTY (005), DE",0505.03,50,806,3,613,2,772,33,1658,005,10,2014,10005050503
"SUSSEX COUNTY (005), DE",0513.02,66,953,1,120,3,2047,29,1271,005,10,2014,10005051302
"SUSSEX COUNTY (005), DE",0518.01,46,298,0,0,0,0,18,172,005,10,2014,10005051801
"SUSSEX COUNTY (005), DE",0501.01,58,1013,0,0,1,519,23,1092,005,10,2014,10005050101
