ZIP,INSAGNT1,BKCLASS,CNTRYNAB,ZIPBR,CHRTAGNT,MSABR,UNINUMBR,STNAME,SIMS_ESTABLISHED_DATE,YEAR,CHRTAGNN,BRSERTYP,STNUMBR,SIMS_DESCRIPTION,FDICDBS,DOCKET,CNTRYNA,NAMEHCR,UNIT,OCCDIST,DEPSUM,DEPDOM,ESCROW,CITY2BR,HCTMULT,INSURED,SIMS_PROJECTION,BRCENM,CHARTER,BKMO,CONSOLD,DIVISIONB,ADDRESS,CSABR,DEPSUMBR,RSSDHCR,CNTYNUMB,CERT,SIMS_LATITUDE,STALP,SPECGRP,CALL,DENOVO,FDICNAME,RSSDID,NAMEBR,METROBR,NECNAMB,CNTYNAMB,SPECDESC,OCCNAME,NECTABR,SIMS_ACQUIRED_DATE,MICROBR,ZIP_RAW,ZIPBR_RAW,BRNUM,CB,STALPBR,USA,STNAMEBR,FED,REGAGNT,FEDNAME,ASSET,INSBRTS,PLACENUM,ADDRESBR,SIMS_LONGITUDE,INSBRDD,CITYHCR,STCNTY,CSANAMBR,CITY,CLCODE,STCNTYBR,CBSA_DIV_NAMB,MSANAMB,NAMEFULL,CITYBR,STALPHCR,ID
23181,DIF,NM,United States,23181,STATE,40060,6639,Virginia,02/01/1927,2024,State Agency,11,51,100.0,5,12229,United States,C&F FINANCIAL CORPORATION,0,,2117630,2117630,,West Point,ONE,CB,EXACT,M,STATE,1,,0,415 14th Street,0,208850,2183493,101,10363,37.5376940088056,VA,4,CALL,0,Atlanta,928421,Citizens And Farmers Bank,1,,King William,COMMERCIAL LENDING,"",,"",0,23181,23181,0,0,VA,1,Virginia,5,FDIC,Richmond,2469328,,0,415 14th Street,-76.7989750284697,,TOANO,51101,"",West Point,21,51101,"","Richmond, VA",Citizens and Farmers Bank,West Point,VA,2024_10363_0
17038,DIF,NM,United States,17038,STATE,30140,6851,Pennsylvania,01/01/1873,2024,State Agency,11,42,100.0,2,11207,United States,JBT BANCORP INC,0,,750542,750542,,Jonestown,ONE,CB,EXACT,M,STATE,1,,0,2 W Market St,276,157976,5557983,75,10677,40.4133729824859,PA,4,CALL,0,New York,653611,"Jonestown Bank And Trust Company, Of Jonestown, Pennsylvania",1,,Lebanon,COMMERCIAL LENDING,"",,"",0,17038,17038,0,1,PA,1,Pennsylvania,3,FDIC,Philadelphia,917845,,0,2 W Market St,-76.4784419985853,,JONESTOWN,42075,"Harrisburg-York-Lebanon, PA",Jonestown,21,42075,"","Lebanon, PA","Jonestown Bank and Trust Company, of Jonestown, Pennsylvania",Jonestown,PA,2024_10677_0
17844,DIF,NM,United States,17844,STATE,0,6856,Pennsylvania,01/01/1872,2024,State Agency,11,42,100.0,2,9706,United States,"MIFFLINBURG BANCORP, INC.",0,,479663,479663,,Mifflinburg,ONE,CB,EXACT,M,STATE,1,,0,250 E Chestnut St,146,283391,1137042,119,10685,40.9241969654915,PA,4,CALL,0,New York,779016,Mifflinburg Bank And Trust Company,0,,Union,COMMERCIAL LENDING,"",,"",1,17844,17844,0,1,PA,1,Pennsylvania,3,FDIC,Philadelphia,565869,,0,250 E Chestnut St,-77.030500628534,,MIFFLINBURG,42119,"Bloomsburg-Berwick-Sunbury, PA",Mifflinburg,21,42119,"","",Mifflinburg Bank and Trust Company,Mifflinburg,PA,2024_10685_0
15501,DIF,NM,United States,15501,STATE,0,7096,Pennsylvania,01/01/1889,2024,State Agency,11,42,100.0,2,9306,United States,SOMERSET TRUST HOLDING COMPANY,0,,1869636,1869636,,Somerset,ONE,CB,EXACT,M,STATE,1,,0,151 W Main St,306,495116,2914857,111,11112,40.0081430003085,PA,4,CALL,0,New York,212522,Somerset Trust Company,0,,Somerset,COMMERCIAL LENDING,"",,"",1,15501,15501,0,1,PA,1,Pennsylvania,4,FDIC,Cleveland,2297347,,0,151 W Main St,-79.0802790406534,,SOMERSET,42111,"Johnstown-Somerset, PA",Somerset,21,42111,"","",Somerset Trust Company,Somerset,PA,2024_11112_0
16749,DIF,NM,United States,16749,STATE,0,7097,Pennsylvania,12/31/1863,2024,State Agency,11,42,100.0,2,12884,"","",0,,322010,322010,,Smethport,NONE,CB,EXACT,M,STATE,1,,0,333 W Main St,0,110594,0,83,11113,41.8093059918887,PA,5,CALL,0,New York,291611,Hamlin Bank And Trust Company,0,,Mckean,MORTGAGE LENDING,"",,"",1,16749,16749,0,1,PA,1,Pennsylvania,3,FDIC,Philadelphia,419830,,0,333 W Main St,-78.4451750286134,,"",42083,"",Smethport,21,42083,"","",Hamlin Bank and Trust Company,Smethport,"",2024_11113_0
15701,DIF,NM,United States,15701,STATE,0,7103,Pennsylvania,05/21/1902,2024,State Agency,11,42,100.0,2,10096,United States,"S&T BANCORP, INC.",0,,7713462,7713462,,Indiana,ONE,CB,EXACT,M,STATE,1,,0,800 Philadelphia St,430,1021397,1071397,63,11124,40.62262899737,PA,4,CALL,0,New York,936426,S&T Bank,0,,Indiana,COMMERCIAL LENDING,"",,"",1,15701,15701,0,0,PA,1,Pennsylvania,4,FDIC,Cleveland,9628986,,0,800 Philadelphia St,-79.155058022195,,INDIANA,42063,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",Indiana,21,42063,"","",S&T Bank,Indiana,PA,2024_11124_0
22314,DIF,NM,United States,22314,STATE,47900,7397,Virginia,01/01/1852,2024,State Agency,11,51,100.0,5,0,United States,BURKE & HERBERT FINANCIAL SERVICES CORP.,0,,6663550,6663550,,Alexandria,ONE,CB,EXACT,M,STATE,1,,11694,100 S Fairfax St,548,913674,5756704,510,11578,38.80427099243,VA,4,CALL,0,Atlanta,933621,Burke & Herbert Bank & Trust Company,1,,Alexandria (City),COMMERCIAL LENDING,"",,"",0,22314,22314,0,0,VA,1,Virginia,5,FDIC,Richmond,7803852,,0,100 S Fairfax St,-77.042298995444,,ALEXANDRIA,51510,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Alexandria,21,51510,"Arlington-Alexandria-Reston, VA-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",Burke & Herbert Bank & Trust Company,Alexandria,VA,2024_11578_0
23830,DIF,NM,United States,23830,STATE,40060,7399,Virginia,08/10/1911,2024,State Agency,11,51,100.0,5,10229,United States,"BANK OF SOUTHSIDE VIRGINIA CORPORATION, THE",0,,534639,534639,,Carson,ONE,CB,EXACT,M,STATE,1,,0,17208 Halligan Park Rd,0,52646,1076105,53,11580,37.0356970080341,VA,8,CALL,0,Atlanta,610128,The Bank Of Southside Virginia,1,,Dinwiddie,ALL OTHER < $1 BILLION,"",,"",0,23830,23830,0,1,VA,1,Virginia,5,FDIC,Richmond,683186,,0,17208 Halligan Park Rd,-77.3954549792201,,CARSON,51053,"",Carson,21,51053,"","Richmond, VA",The Bank of Southside Virginia,Carson,VA,2024_11580_0
24277,DIF,NM,United States,24277,STATE,0,7400,Virginia,08/22/1932,2024,State Agency,11,51,100.0,5,13526,United States,"LEE BANKSHARES, INC.",0,,218440,218440,,Pennington Gap,ONE,CB,EXACT,M,STATE,1,,0,41371 W Morgan Ave,0,152698,5686799,105,11582,36.7554280007051,VA,4,CALL,0,Atlanta,661223,Lee Bank And Trust Company,0,,Lee,COMMERCIAL LENDING,"",,"",0,24277,24277,0,1,VA,1,Virginia,5,FDIC,Richmond,250459,,0,41371 W Morgan Ave,-83.0331780403076,,PENNINGTON GAP,51105,"",Pennington Gap,21,51105,"","",Lee Bank and Trust Company,Pennington Gap,VA,2024_11582_0
18512,DIF,NM,United States,18512,STATE,42540,7582,Pennsylvania,05/11/1903,2024,State Agency,11,42,100.0,2,11124,United States,"FIDELITY D&D BANCORP, INC.",0,,2170998,2170998,,Scranton,ONE,CB,StreetAddress,M,STATE,1,,0,101 N Blakely St,0,505205,2858773,69,11868,41.4219482966026,PA,4,CALL,0,New York,1007819,The Fidelity Deposit And Discount Bank,1,,Lackawanna,COMMERCIAL LENDING,"",,"",0,18512,18512,0,1,PA,1,Pennsylvania,3,FDIC,Philadelphia,2500656,,0,101 N Blakely St,-75.6304178278344,,DUNMORE,42069,"",Dunmore,21,42069,"","Scranton--Wilkes-Barre, PA",The Fidelity Deposit and Discount Bank,Dunmore,PA,2024_11868_0
