addressLatitude,addressLongitude,creditUnionName,creditUnionSiteName,city,cityPhysical,country,isMainOffice,isMdi,bilingual_Services,credit_Builder,financial_Counseling,first_Time_Homebuyer_Program,inSchoolBranch,low_cost_wire_transfers,no_Cost_Tax_Preparation,no_Cost_Share_Drafts,palS_I,palS_II,siteFunctions,siteName,state,url,zipcode,street
40.603802,-80.279678,CLEARVIEW,Hopewell,Aliquippa,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Member Services;ATM;;Shared Service Center,,PA,http://www.clearviewfcu.org,15001,2646 Brodhead Rd Suite 1
40.604813,-80.276208,WEST-AIRCOMM,West-Aircomm FCU,Aliquippa,,United States,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Member Services;ATM;Drive Thru;Shared Service Center,,PA,http://www.westaircomm.com,15001,2015 Main St
40.60553,-80.275259,FRIENDLY,Friendly Federal Credit Union,Aliquippa,,United States,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;;Drive Thru;,,PA,http://www.friendlyfcu.org,15001-2760,2000 Main St
40.608693,-80.277788,ALIQUIPPA TEACHERS,800 21st St,Aliquippa,,United States,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Member Services;;;,,PA,"",15001,800 21st St
40.557345,-80.260457,B I,Bocktown,Aliquippa,,United States,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Member Services;;;,,PA,http://www.bifcu.org,15001,5040 Bocktown Rd
40.572056,-80.255229,A & S,A & S Federal Credit Union,Aliquippa,,United States,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;,,PA,http://www.asfederal.org,15001,2090 Brodhead Rd
40.643321,-80.373962,USX,Monaca Office,Monaca,,United States,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.usxfcu.org,15061,400 Frankfort Rd
40.658974,-80.317218,FREEDOM UNITED,FREEDOM UNITED FCU,Monaca,,United States,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;;;,,PA,https://www.FREEDOMUNITEDFCU.COM,15061-3138,3589 Brodhead Rd
40.497404,-80.290616,POST GAZETTE,POST-GAZETTE FCU - CLINTON OFFICE,CLINTON,,United States,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Member Services;;;,,PA,http://WWW.POSTGAZETTEFCU.ORG,15026,2201 SWEENEY DR
40.589429,-80.229662,NEW ALLIANCE,Ambridge,Ambridge,,United States,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Member Services;ATM;Drive Thru;,,PA,https://www.newalliancefcu.com,15003,835 Merchant St
40.591198,-80.226299,AMBRIDGE AREA,Student branch,Ambridge,,United States,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;;;,,PA,http://www.ambridgeareafcu.com,15003,909 Duss Ave
40.674262,-80.310027,NEW ALLIANCE,Center Township,Monaca,,United States,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Member Services;ATM;Drive Thru;,,PA,https://www.newalliancefcu.com,15061-2432,101 Golfview Dr
40.675301,-80.311791,CLEARVIEW,Center,Monaca,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Member Services;ATM;Drive Thru;Shared Service Center,,PA,http://www.clearviewfcu.org,15061,210 Golfview Dr Stone Quarry Commons
40.636233,-80.229466,AMBRIDGE AREA,Ambridge Area FCU,Baden,,United States,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;;;,,PA,http://www.ambridgeareafcu.com,15005-1736,401 State St
40.63455,-80.227243,FRIENDLY,Freindly FCU Baden Office,Baden,,United States,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;;;,,PA,http://www.friendlyfcu.org,15005-1904,384 State St
