tract_geoid,place_type,place_name,place_dist,place_dir
24003731103,hamlet,College Manor,,
24003731103,neighbourhood,Capetowne,,
24003731103,hamlet,Joyce Acres,,
24003731103,town,Arnold,,
24003731103,neighbourhood,Henekes Corner,,
24003731103,neighbourhood,Whispering Woods,,
24003731103,hamlet,Indian Hills,,
24003731103,neighbourhood,Briar Lea,,
24003731103,hamlet,Terrace Gardens,,
24003731103,neighbourhood,Landhaven,,
24003731103,hamlet,Sillman Estates,,
24003731103,hamlet,Rubert Manor,,
24003731103,hamlet,Raintree,,
24003731103,neighbourhood,Shirleyville,,
24003731103,hamlet,Sturbridge,,
24003731103,hamlet,The Timbers,,
24003731103,hamlet,Dogwood Trailer Park,,
24003731103,neighbourhood,Holly Anna Acres,,
24003731103,neighbourhood,StoneCrest,,
24003707001,village,Shady Side,,
24003707001,hamlet,South Creek View,,
24003707001,hamlet,Cedarhurst,,
24003707001,hamlet,West Shadyside,,
24003707001,hamlet,Snug Harbor,,
24003707001,hamlet,Back Bay,,
24003707001,hamlet,Felicity Cove,,
24003707001,hamlet,Avalon Shores,,
24003707001,hamlet,Bahama View,,
24003707001,hamlet,Holly Landing,,
24003707001,hamlet,Selassie Villa,,
24003707001,hamlet,Cherry Point,,
24003707001,hamlet,Columbia Beach,,
24003707001,hamlet,Westelee,,
24003707001,hamlet,Chalk Point,,
24003707001,hamlet,Cedarlea,,
24003707001,hamlet,Idlewilde,,
24003707001,hamlet,Back Bay Beach,,
24003707001,hamlet,West River Plantation,,
24003707001,hamlet,Shady Oaks,,
24003740800,hamlet,Andersons Corner,,
24003740800,neighbourhood,Mistwood,,
24003740800,hamlet,Baldwin Hills,,
24003740800,hamlet,Millersville Forest,,
24003740800,hamlet,Spruce Hill Estates,,
24003740800,hamlet,Bretton Woods,,
24003740800,hamlet,Shawnee Estates,,
24003740800,hamlet,Brandy Farms,,
24003740800,hamlet,Dorrs Corner,,
24003740800,hamlet,Tanager Forest,,
24003740800,hamlet,Mallet Hill,,
24003740800,hamlet,Millersville,,
24003740800,hamlet,Devonshire,,
24003740800,hamlet,Sunnyview Acres,,
24003702402,neighbourhood,Ginger Cove,,
24003702402,hamlet,Iglehart,,
24003702402,hamlet,Rolling Knolls,,
24003702402,neighbourhood,Autumn Chase at Riva Trace,,
24003702402,neighbourhood,Broadview Estates,,
24003702402,neighbourhood,West Woods,,
24003702402,neighbourhood,Gingerville Woods,,
24003702402,neighbourhood,Whiskey Bottom,,
24003702402,neighbourhood,Cape Saint John,,
24003702402,neighbourhood,Gingerville Manor Estates,,
24003702402,neighbourhood,Riva Trace,,
24003702402,hamlet,Oak Court,,
24003702402,hamlet,Rolling Hills,,
24003702402,neighbourhood,The Courtyards,,
24003702402,neighbourhood,Gingerville,,
24003731303,hamlet,Green Gables,,
24003731303,hamlet,Riding Woods,,
24003731303,hamlet,Ventnor Forest,,
24003731303,hamlet,Bodkin Plains,,
24003731303,hamlet,Herons Watch,,
24003731303,hamlet,Mount Carmel,,
24003731303,hamlet,Pinehurst Harbour,,
24003731303,hamlet,Sillery Bay,,
24003731303,hamlet,Saybrooke,,
24003731303,hamlet,Pinehurst on the Bodkin,,
24003731303,hamlet,Arcadia,,
24003731303,hamlet,Long Point on the Magothy,,
24003731303,hamlet,Hunters Harbor,,
24003731303,hamlet,Tree Tops,,
24003731303,hamlet,Milburn on the Magothy,,
24003731303,hamlet,Pinehurst,,
24003731303,hamlet,Kingston Estates,,
24003731303,hamlet,Windermere Estates,,
24003731303,hamlet,Gibson Island,,
24003731303,hamlet,Mountain Wood,,
24003731303,hamlet,Lyndale,,
24003731303,hamlet,Long Point,,
24003731303,hamlet,Ventnor,,
24003730603,hamlet,Earleigh Heights,,
24003730603,hamlet,Hampton Manor,,
24003730603,hamlet,Kilmarnock,,
24003730603,hamlet,Sabrina Park,,
24003730603,hamlet,Drexel Estates,,
24003730603,hamlet,Elvaton,,
24003730603,hamlet,Elvaton Acres,,
24003730603,hamlet,Parkview,,
24003730601,hamlet,Stewarts Purchase,,
24003730601,hamlet,Shipleys Choice,,
24003730601,hamlet,Quail Run,,
24003730601,hamlet,Ben Oaks,,
24003730601,hamlet,Brightwood Terrace,,
24003730601,hamlet,Brightwood,,
24003730601,hamlet,Hillendale,,
24003730601,hamlet,Point Field Landing on the Severn,,
24003730601,hamlet,Chartwood,,
24003730601,hamlet,Benfield,,
24003730601,hamlet,Windy Knolls,,
24003730601,neighbourhood,Watson's Glen,,
24003730902,neighbourhood,Colonial Manor Estates,,
24003730902,hamlet,Saint Margarets,,
24003730902,hamlet,Whitehall Beach,,
24003730902,neighbourhood,Amberly,,
24003730902,hamlet,Tanglewood,,
24003730902,neighbourhood,Meredith Homes,,
24003730902,neighbourhood,Whitehall Estates,,
24003730902,hamlet,Saint Margarets Farm,,
24003730902,hamlet,Beechwood on the Burley,,
24003730902,neighbourhood,Whitehall Manor,,
24003730902,hamlet,Hidden Point,,
24003730902,hamlet,Pleasant Plains,,
24003730902,neighbourhood,Old Mill Bottom Estates,,
24003706600,neighbourhood,Wardour Bluffs,,
24003706600,neighbourhood,West Annapolis,,
24003706600,neighbourhood,Wardour,,
24003706600,locality,Bay Ridge Junction,,
24003706600,neighbourhood,Admiral Heights,,
24003706600,neighbourhood,Homewood,,
24003706500,neighbourhood,Heritage,,
24003706500,neighbourhood,Bay View Heights,,
24003706500,neighbourhood,Forest Villa,,
24003706500,neighbourhood,Market Quay,,
24003706500,hamlet,Captains Walk,,
24003741000,village,Gambrills,,
24003741000,hamlet,Aurora Hills,,
24003741000,hamlet,Villa Verdi,,
24003741000,hamlet,Oakdale,,
24003741000,hamlet,Chase Hill,,
24003702500,hamlet,The Ridings,,
24003702500,neighbourhood,Baytowne Village,,
24003702500,hamlet,Eatons Landing,,
24003702500,hamlet,Bywater Estates,,
24003702500,hamlet,Rundelac Farm,,
24003702500,neighbourhood,Dorsey Heights,,
24003702500,neighbourhood,Donovans Pier,,
24003702500,neighbourhood,Wilelinor Estates,,
24003702500,neighbourhood,Greenbriar Gardens,,
24003702500,neighbourhood,Greenbriar,,
24003702500,neighbourhood,Poplar Point,,
24003702500,neighbourhood,Robinwood,,
24003707002,hamlet,Broadwater Point,,
24003707002,hamlet,Mimosa Cove,,
24003707002,hamlet,Swans,,
24003707002,hamlet,Churchton,,
24003707002,hamlet,Masons Beach,,
24003707002,village,Deale,,
24003707002,hamlet,Owings Beach,,
24003707002,hamlet,Spyglass,,
24003707002,hamlet,Oakland,,
24003707002,hamlet,Deale Beach,,
24003707002,hamlet,Cape Anne,,
24003707002,hamlet,Broadwater,,
24003707002,hamlet,Franklin Manor Beach,,
24003707002,hamlet,Tiffany Woods,,
24003707002,hamlet,Franklin Manor-on-the-Bay,,
24003707002,hamlet,North Deale,,
24003707002,hamlet,Rest Haven,,
24003740203,hamlet,Colonial Manor,,
24003740203,hamlet,Delmont,,
24003740203,hamlet,Danza Village,,
24003740203,hamlet,Quarterfield Farms,,
24003740203,hamlet,Chesmar,,
24003740203,hamlet,Derby Farms,,
24003740203,hamlet,Stevenson Park,,
24003740203,hamlet,Wedgewood Forest,,
24003740203,hamlet,New Cut Farms,,
24003740203,neighbourhood,Highmeadow Hills,,
24003701400,hamlet,Harwood Estates,,
24003701400,hamlet,South River Estates,,
24003701400,hamlet,West River,,
24003701400,hamlet,South River,,
24003701400,hamlet,Chapel Knoll,,
24003701400,hamlet,Warthen Knolls,,
24003701400,hamlet,Cumberstone,,
24003701400,hamlet,Castle Acres,,
24003701400,hamlet,Pennbrooke,,
24003701400,hamlet,Hardesty,,
24003701400,village,Galesville,,
24003701400,hamlet,Mill Swamp,,
24003701400,hamlet,Clubhouse Estates,,
24003701400,hamlet,Sudleys Choice,,
24003701400,hamlet,Tameron Hall,,
24003701400,hamlet,Collison Corner,,
24003701400,hamlet,Marriott Hill,,
24003701400,hamlet,Galesville Estates,,
24003701400,hamlet,Huckleberry Woods,,
24003751102,neighbourhood,Hammarlee,,
24003751102,neighbourhood,Cromwell Station,,
24003751102,neighbourhood,Cromwell Fountain,,
24003751102,neighbourhood,Brooklyn Terrace,,
24003751102,neighbourhood,Morris Hills,,
24003751102,neighbourhood,Twin Cove,,
24005430400,suburb,Halethorpe,,
24003731307,hamlet,Sharonville,,
24003731307,hamlet,Chesterfield Plaza,,
24003731307,hamlet,Bell Forest,,
24003731307,hamlet,Rock Creek Landing,,
24003731307,hamlet,Fairwood,,
24003731307,hamlet,Chesterfield,,
24003731307,hamlet,Orr Acres,,
24003731307,hamlet,Villa Tuscana,,
24003731307,hamlet,Chesterfield Gardens,,
24003731307,hamlet,Summerfield,,
24003731307,hamlet,Blossom Hills,,
24003750804,hamlet,Rippling Ridge,,
24003750804,neighbourhood,Glen Ridge,,
24003750804,neighbourhood,Trevor Woods,,
24003750804,neighbourhood,Capitol Hills,,
24003750804,hamlet,Ferndale Manor,,
24003750804,neighbourhood,Glenmore,,
24003750804,hamlet,North Welham,,
24003701101,hamlet,Steuart Corner,,
24003701101,hamlet,South Down Shores,,
24003701101,hamlet,Withernsea,,
24003701101,village,Riva,,
