YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders,innovative_summary,innovative_score,child_poverty_direct_summary,child_poverty_direct_score
2025 Regular Session,HB0001,"Department of Transportation - Human Trafficking Awareness, Training, and Response (See Someone, Save Someone Act)","Requiring the Maryland Department of Transportation to develop or identify and implement a training program for transportation sector employees on the identification and reporting of suspected human trafficking victims; requiring transportation sector employers to certify by January 1, 2027, and each year thereafter that certain employees have completed the training program; requiring new employees to receive training within 90 days of hiring; removing civil and criminal liability for reporting of suspected trafficking; etc.","This bill, known as the ""See Someone, Save Someone Act,"" requires the Maryland Department of Transportation (MDOT) to develop or identify and implement a training program for certain transportation sector employees on the identification and reporting of suspected human trafficking victims. Employers in this sector must certify that their employees complete the training, establish procedures for reporting suspected human trafficking, and implement a prevention policy. The bill also protects employers and employees from civil or criminal liability for good faith reporting or response. Additionally, MDOT is required to ensure frequent public service announcements with safety information for trafficking victims are made at transit stations, airports, port facilities, and highway rest stops.",True,2025.0,,,Maryland Department of Transportation,"State employees and contract employees working at transit stations, airports, port facilities, highway rest stops, or providing transit service; employers of these employees; and human trafficking victims.","The program establishes a mandatory training and awareness initiative for transportation sector employees to identify and report human trafficking. While important, this approach of mandatory training and public service announcements is a standard method for public awareness and response, not employing new technologies or highly innovative governmental approaches.",3,"The bill focuses on combating human trafficking by training transportation employees and increasing public awareness. While human trafficking can profoundly impact the well-being and economic stability of individuals, including children, and may indirectly prevent or alleviate child poverty by rescuing child victims from exploitative situations, it does not directly address or provide services specifically designed to reduce child poverty.",2
2025 Regular Session,HB0003,State Board of Physical Therapy Examiners - Revisions,"Clarifying the definition of ""physical therapist assistant"" as used in the Maryland Physical Therapy Act to mean an individual licensed by the State Board of Physical Therapy Examiners; increasing the membership of the State Board of Physical Therapy Examiners from 8 to 9; and requiring the Board to send renewal notices to licensees by electronic means, rather than first-class mail, unless the licensee requests to receive the renewal notice by first-class mail.","This bill revises the Maryland Physical Therapy Act by clarifying the definition of 'physical therapist assistant,' increasing the membership of the State Board of Physical Therapy Examiners from 8 to 9 members (specifically adding one more licensed physical therapist assistant), and changing the default method for the Board to send license renewal notices from first-class mail to electronic means, unless a licensee requests mail delivery.",False,2025.0,,,State Board of Physical Therapy Examiners,"Licensed physical therapists, licensed physical therapist assistants, and the State Board of Physical Therapy Examiners.","The bill's shift to electronic means for sending license renewal notices is a minor administrative modernization, aligning with common digital practices. It does not introduce new or groundbreaking technologies or approaches.",3,"This bill focuses on the regulation, licensing, and administrative processes for physical therapy professionals and their governing board. It does not contain any provisions or mechanisms designed to directly address or alleviate child poverty.",1
2025 Regular Session,HB0004,Restrictions on Use - Solar Collector Systems - Alteration,Prohibiting a restriction on land use that increases the cost of installing a solar collector system by at least 5% over a certain cost or that reduces the efficiency of the system by at least 10% under a certain energy generation level; authorizing a community association to impose certain restrictions on the installation of solar collector systems in common areas or common elements; authorizing a community association to install a solar collector system in common areas or common elements under certain circumstances; etc.,"This bill amends Maryland real property law to limit the ability of community associations and other restrictions on use from imposing unreasonable limitations on the installation of solar collector systems on private property. It defines ""unreasonable"" as increasing installation costs by at least 5% or reducing energy generation by at least 10%. It also clarifies the rights of community associations regarding solar installations in common areas and provides for the creation of solar easements.",False,2025.0,,,Maryland courts,"Property owners, community associations (condominium associations, homeowners associations), solar panel design specialists, and potentially those living in historic properties.","The bill is an amendment to property law, clarifying existing rights and setting specific quantitative thresholds for what constitutes an ""unreasonable limitation"" on solar installations. While promoting solar energy is a modern goal, the legislative approach of defining limits and requiring specific certifications for documentation is a refinement of legal frameworks rather than an innovative program employing new technologies or novel governmental approaches. The specific quantitative thresholds are a pragmatic, data-driven approach to dispute resolution.",2,"This bill aims to ease the installation of solar panels by limiting restrictions, which could potentially lead to lower energy costs for homeowners. While lower energy costs can indirectly benefit households, including those with children, the bill does not directly target child poverty or provide specific programs or financial aid to alleviate it. The impact would be very indirect and marginal.",1
2025 Regular Session,HB0009,Public Safety - Food System Resiliency Council - Definitions and Reports,"Altering certain definitions related to the Food Resiliency Council; defining what constitutes ""healthy food priority areas"" as predominantly lower-income areas that have limited access to retail outlets that sell affordable, healthy foods; defining ""wasted food"" as food not used for its intended purpose; requiring the Council to make recommendations to increase the availability of local foods, create market opportunities for Maryland food businesses, and expand access to small scale food production infrastructure; etc.","This bill updates the definitions and reporting requirements for the Maryland Food System Resiliency Council. It defines ""healthy food priority areas"" as predominantly lower-income areas with limited access to affordable, healthy foods, and defines ""wasted food"" to include food not used for its intended purpose that is managed in various ways (donations, animal feed, composting, anaerobic digestion, disposal). The bill also repeals outdated reporting requirements and alters ongoing annual reporting requirements for the Council to the General Assembly, ensuring they include policy and legislative changes.",False,2025.0,,,Maryland Food System Resiliency Council within the Office of Resilience in the Department of Emergency Management,"Residents of Maryland, particularly those in lower-income areas with limited access to healthy food, local food council organizations, schools, institutions of higher education, and Maryland food businesses.","The bill itself is primarily administrative, refining definitions and reporting mechanisms for an existing council. The concepts of mapping food insecurity, identifying healthy food priority areas, addressing racial inequities in the food system, and reducing wasted food, which are goals of the Council whose operations are clarified by this bill, represent an innovative approach to food system management and resilience.",3,"The bill's clarification of definitions and reporting for the Food System Resiliency Council supports the Council's goals to address food insecurity in the State, including exploring the Community Eligibility Provision for feeding students and addressing limited food options in 'healthy food priority areas,' which are predominantly lower-income areas. These efforts have the potential to directly impact child poverty by improving access to healthy and affordable food for children in vulnerable communities.",8
2025 Regular Session,HB0011,"Health Insurance - Access to Nonparticipating Providers - Referrals, Additional Assistance, and Coverage","Repealing the June 30, 2025, termination date for certain provisions of law related to referrals to and reimbursement of specialists and nonphysician specialists who are not part of a carrier's provider panel; prohibiting certain carriers from imposing utilization review requirements other than would be required if the covered benefit was provided by a provider on the carrier's provider panel under certain circumstances; etc.","This bill repeals the termination date for existing laws related to referrals to out-of-network specialists and nonphysician specialists. It mandates that health insurance carriers provide additional assistance to members in identifying and arranging coverage for out-of-network mental health or substance use disorder treatment when in-network access is inadequate. The bill also prohibits carriers from imposing utilization review requirements for approved out-of-network referrals that are more stringent than those for in-network care, and ensures that out-of-network mental health and substance use disorder services are covered at no greater cost to the member.",False,2026.0,,,Health insurance carriers; Maryland Health Care Commission,"Individuals covered by health insurance plans (members), especially those seeking mental health or substance use disorder treatment; health insurance carriers; and health care providers (specialists and nonphysician specialists).","The bill enhances consumer protections by requiring insurance carriers to provide additional assistance for accessing out-of-network mental health and substance use disorder care when in-network options are insufficient. It also limits utilization review for approved out-of-network services to the same standards as in-network care. While this improves access and fairness in healthcare, it represents a regulatory adjustment to existing insurance practices rather than a new technological or fundamentally new governmental approach.",3,"By improving access to mental health and substance use disorder treatment, this bill can indirectly benefit children in poverty. Enhanced access to essential healthcare for parents or guardians can lead to improved family stability, better parental well-being, and potentially greater economic stability, thereby mitigating some factors contributing to child poverty. However, the bill does not directly provide financial assistance or services specifically targeted at children in poverty.",4
2025 Regular Session,HB0012,Cannabis - Sale and Distribution - Tetrahydrocannabinol Offenses,"Authorizing the officers and employees of the Field Enforcement Division of the Alcohol, Tobacco, and Cannabis Commission to issue a citation for a violation of §10-108 of the Criminal Law Article; prohibiting the sale or distribution of certain products that contain tetrahydrocannabinol or are advertised as containing tetrahydrocannabinol; authorizing the Executive Director of the Commission to seize, destroy, or confiscate a certain unlawful product; etc.","This bill enhances the enforcement powers of the Alcohol, Tobacco, and Cannabis Commission by authorizing its Field Enforcement Division officers to issue citations for violations related to the sale of tetrahydrocannabinol (THC) products. It establishes that displaying or offering THC for sale is prima facie evidence of selling, and prohibits the sale or distribution of THC products that violate potency, packaging, or labeling standards, or are falsely advertised. The bill also empowers the Executive Director to seize, destroy, or confiscate unlawful products and sets penalties for violations by both licensed and unlicensed entities.",False,2025.0,,,"Alcohol, Tobacco, and Cannabis Commission (specifically its Field Enforcement Division and Executive Director)","Businesses and individuals involved in the sale and distribution of cannabis and tetrahydrocannabinol (THC) products, including both licensed cannabis entities and other sellers. Consumers of these products, particularly those under 21, are also impacted by the enforcement of age restrictions.","The bill primarily focuses on strengthening traditional regulatory enforcement mechanisms, such as issuing citations, seizing products, and clarifying evidentiary standards. While it references existing requirements for age-screening on websites in the context of delta-8/10 THC sales, the bill itself does not introduce new technologies or novel approaches to government.",1,"This bill focuses exclusively on the regulation and enforcement of cannabis and tetrahydrocannabinol product sales and distribution. It does not contain any provisions related to economic support, educational opportunities, healthcare, or other social services that would directly impact child poverty.",1
2025 Regular Session,HB0015,Corporations and Associations - Limited Worker Cooperative Associations - Authorization (Maryland Limited Worker Cooperative Association Act),"Authorizing the formation of limited worker cooperative associations; and establishing rules and procedures for the formation, governance, conversion, and dissolution of limited worker cooperative associations.","This bill establishes the ""Maryland Limited Worker Cooperative Association Act,"" authorizing the formation, governance, conversion, and dissolution of limited worker cooperative associations. It amends various sections of the Corporations and Associations Article, as well as the Insurance and Tax – General Articles, to integrate this new business structure into Maryland law. The act details requirements for articles of organization, cooperative agreements, membership, governance (including worker member voting power), profit allocation, and dissolution.",False,2026.0,,,Maryland Department of Assessments and Taxation and Maryland Insurance Commissioner,"Individuals interested in forming or working in democratically self-managed businesses, existing limited liability companies considering conversion to a worker cooperative structure, and workers who may become members of these associations.","The bill introduces a new legal business entity, the Limited Worker Cooperative Association, which allows for a democratic, worker-centric ownership and governance model. This formalizes an alternative approach to economic organization within state statutes, emphasizing worker self-management and patronage-based profit sharing.",7,"The bill facilitates the creation of worker cooperatives, which may offer worker members improved wages, benefits, and job stability through shared ownership and democratic governance. If these cooperatives succeed and provide better economic conditions for workers, it could indirectly contribute to alleviating child poverty in their households. However, the bill does not directly target child poverty or provide specific services or financial aid for low-income families.",3
2025 Regular Session,HB0018,Vehicle Laws - Noise Abatement Monitoring Systems Pilot Program - Inspection and Extension,Establishing that certain provisions of law relating to the inspection of recorded images apply to recorded images produced by a noise abatement monitoring system; and extending by 2 years the reporting and termination dates of the noise abatement monitoring systems pilot programs in Montgomery County and Prince George's County.,"This bill extends the pilot programs for noise abatement monitoring systems in Montgomery County and Prince George's County from June 30, 2026, to June 30, 2028. It also extends the reporting deadline for these programs to December 1, 2027, requiring counties to report on system usage, citations, costs, revenue, performance, and effectiveness. Additionally, the bill clarifies that existing laws regarding the inspection of recorded images apply to images produced by these noise abatement monitoring systems.",True,2024.0,2028.0,,Montgomery County and Prince George's County governments,Motor vehicle operators and residents of Montgomery County and Prince George's County,"The program utilizes ""noise abatement monitoring systems,"" which are technological solutions designed to automatically detect and record excessive vehicle noise. This represents an innovative, automated approach to enforcing noise regulations, similar to speed camera systems, for environmental and quality of life improvement.",7,"This bill focuses solely on vehicle noise enforcement and monitoring systems, which has no direct impact on child poverty.",1
2025 Regular Session,HB0019,"Health Occupations - Nursing - Loan Repayment, Education, and Sunset Extension (Building Opportunities for Nurses Act of 2025)",Expanding the purpose of the Maryland Loan Assistance Repayment Program for Nurses and Nursing Support Staff; requiring the Department to prioritize funding for nurses or nursing support staff who practice in an area with a shortage of nurses or nursing support staff or who practice in a specialty where a shortage has been identified; altering certain education requirements for licensure; repealing a certain requirement that the State Board of Nursing approve certain nursing assistant training program sites within a certain time period; etc.,"The Building Opportunities for Nurses Act of 2025 expands the Maryland Loan Assistance Repayment Program for Nurses to include nurses and nursing support staff who work for-profit in areas identified as having a health care workforce shortage or public health need, or in specific medical specialties identified as being in shortage. It revises education requirements for registered nursing licensure and licensure by endorsement. The bill also extends the termination dates for the State Board of Nursing and related provisions, as well as certain preceptorship program tax credits for nurses and physicians, until June 30 or July 1, 2030, while reducing the required clinical training hours for these tax credits from 100 to 90 hours per rotation. Additionally, it alters effective dates for certain certified nursing assistant provisions.",False,2025.0,2030.0,,Maryland Department of Health; State Board of Nursing,"Nurses (including registered nurses, licensed practical nurses, advanced practice registered nurses, nurse anesthetists, and nurse practitioners), nursing support staff, students pursuing nursing education, licensed physicians serving as preceptors, and healthcare facilities and communities in areas with healthcare workforce shortages.","The bill primarily modifies and extends existing programs and regulations, such as expanding eligibility for an existing loan repayment program and extending tax credits. It does not introduce new technologies or novel governmental approaches, focusing instead on policy adjustments and administrative extensions.",2,"The bill aims to strengthen the nursing workforce by expanding loan repayment options and extending tax credits for preceptors, especially in healthcare shortage areas. While increasing the availability of healthcare professionals and improving the financial stability of nurses and their families can indirectly contribute to better community health and economic well-being, which may alleviate some factors contributing to child poverty, the bill does not include direct interventions specifically targeting child poverty like cash assistance, food security programs, or direct child welfare services.",3
2025 Regular Session,HB0022,Department of Public Safety and Correctional Services - Study on Location of Individuals Prior to and Following Incarceration,"Requiring the Department of Public Safety and Correctional Services to conduct an annual study examining and comparing certain data regarding an individual's residence prior to incarceration and on release from a State correctional facility; and requiring the Department by October 1, 2026, and each October 1 thereafter, to report the results of the study to certain committees of the General Assembly.","This bill requires the Department of Public Safety and Correctional Services to conduct an annual study examining data related to the county of residence of individuals prior to incarceration and their county of release from a State correctional facility. The study must compare where individuals resided before incarceration to where they are released, including instances of transfer between facilities.",False,2025.0,,,Department of Public Safety and Correctional Services,"Individuals incarcerated in or released from Maryland State correctional facilities, as well as the legislative committees responsible for oversight.","The bill mandates an annual data study on the movement patterns of individuals within the correctional system, specifically their residences before and after incarceration. While data collection and reporting are standard governmental functions, the bill does not describe the use of new technologies or particularly innovative approaches to data gathering or analysis beyond a standard study.",2,"This bill focuses on a study of individuals' residential locations before and after incarceration. While parental incarceration and re-entry are known to indirectly affect family stability and potentially child poverty, this bill itself is an information-gathering initiative and does not directly provide services, financial support, or programs aimed at alleviating child poverty.",1
